date,week,river,section,crew_1,crew_2,crew_3,recorder,weather,flow,time_in,time_out,secchi,water_temperature_in,water_temperature_out,notes
3/25/2021,8,Stanislaus,3,RK,GD,-,GD,PCD,300,815,1145,10+,10.5,12,
3/25/2021,8,Stanislaus,4,RK,GD,-,GD,PCD,300,1145,1501,11+,12,13.5,
4/1/2021,9,Stanislaus,1,RK,GD,-,RK,CLR,400,930,1135,-,11,11,
3/29/2021,9,Stanislaus,2,RK,GD,-,GD,CLR,400,831,1224,17+,11.5,12.5,H2/H5 Partial Surveys
4/1/2021,9,Stanislaus,3,RK,GD,-,RK,CLR,400,1215,1300,-,14,14,
3/29/2021,9,Stanislaus,3,RK,GD,-,GD,CLR,400,1224,1418,20+,12.5,13,
3/30/2021,9,Stanislaus,3,RK,GD,-,GD,CLR,400,807,1113,11+,11,12.5,
3/30/2021,9,Stanislaus,4,RK,GD,-,GD,CLR,400,1113,1340,11+,12.5,14.5,
4/7/2021,10,Stanislaus,1,RK,GD,-,RK,CLR,400,915,1205,-,11,11.5,
4/5/2021,10,Stanislaus,2,RK,GD,-,GD,PCD/Wind,400,810,1201,16+,11.5,12.5,H2/H5 Partial Surveys
4/7/2021,10,Stanislaus,3,RK,GD,-,RK,CLR,400,1235,1315,-,14.5,14.5,
4/5/2021,10,Stanislaus,3,RK,GD,-,GD,CLR,400,1201,1343,20+,12.5,13,
4/6/2021,10,Stanislaus,3,RK,GD,-,GD,CLR,400,759,1309,11+,11.5,14,
4/6/2021,10,Stanislaus,4,RK,GD,-,GD,CLR,400,1309,1522,10+,14,15.5,
4/15/2021,11,Stanislaus,1,RK,GD,-,RK,CLR,400,1030,1300,-,11,12,
4/12/2021,11,Stanislaus,2,RK,GD,-,GD,CLR,1050,837,1227,16,11.5,12.5,H5 not surveyed - flow
4/15/2021,11,Stanislaus,3,RK,GD,-,RK,CLR,400,1325,1400,-,14,14,
4/12/2021,11,Stanislaus,3,RK,GD,-,GD,CLR,1050,1227,1351,18,12.5,13,
4/13/2021,11,Stanislaus,3,RK,GD,-,GD,CLR,1000,823,1106,11+,11.5,12.5,
4/13/2021,11,Stanislaus,4,RK,GD,-,GD,CLR,1000,1106,1311,11+,12.5,12.5,U1 not surveyed - flow
4/20/2021,12,Stanislaus,1,RK,GD,-,RK,PCD,600,930,1130,-,11.5,11.5,
4/19/2021,12,Stanislaus,2,RK,GD,-,GD,CLR,800,848,1211,16+,11.5,12.5,H5 not surveyed - flow
4/20/2021,12,Stanislaus,3,RK,GD,-,RK,CLR,600,1200,1245,-,13,13,
4/19/2021,12,Stanislaus,3,RK,GD,-,GD,CLR,800,1211,1335,20+,12.5,13,
4/21/2021,12,Stanislaus,3,RK,GD,-,GD,CLR,600,823,1210,11+,11.5,13.5,
4/21/2021,12,Stanislaus,4,RK,GD,-,GD,CLR,600,1210,1410,11+,13.5,15.5,U1 not surveyed - flow
4/29/2021,13,Stanislaus,1,RK,GD,-,RK,CLR,500,940,1215,-,11,12,
4/26/2021,13,Stanislaus,2,RK,GD,-,GD,CLR,1050,857,1250,17+,11,12,H5 not surveyed - flow
4/29/2021,13,Stanislaus,3,RK,GD,-,RK,CLR,500,1240,1330,-,14,14,
4/26/2021,13,Stanislaus,3,RK,GD,-,GD,CLR,1050,1250,1431,20+,12,13,
4/27/2021,13,Stanislaus,3,RK,GD,-,GD,CLR,1200,816,1127,14+,11,12,
4/27/2021,13,Stanislaus,4,RK,GD,-,GD,CLR/Wind,1200,1127,1331,13+,12,13,U1 not surveyed - flow
1/4/2022,1,Stanislaus,1,RK,EL,JM,JM,PCD,200,820,1110, -,9,9.5,
1/4/2022,1,Stanislaus,2,RK,EL,JM,JM,PCD,200,1210,1306, -,10,10,
1/5/2022,1,Stanislaus,2,RK,JM, -,JM,PCD,200,815,1225,9,10.5,10.5,
1/4/2022,1,Stanislaus,3,RK,EL,JM,RK,PCD,200,1330,1415, -,11,11,
1/5/2022,1,Stanislaus,3,RK,JM, -,JM,PCD,200,1230,1420,10,10.5,11,
1/6/2022,1,Stanislaus,3,RK,JM, -,JM,CLD,200,835,1225,11+,10.5,11,
1/6/2022,1,Stanislaus,4,RK,JM, -,JM,CLD,200,1225,1450,10,11,11,
1/10/2022,2,Stanislaus,1,RK,JM, -,JM,PCD,200,840,1100, -,10,10,
1/10/2022,2,Stanislaus,2,RK,JM, -,JM,PCD,200,1145,1300, -,11.5,11.5,
1/12/2022,2,Stanislaus,2,RK,EL,JM,EL,CLR,200,820,1140,10,10,11,
1/10/2022,2,Stanislaus,3,RK,JM, -,JM,PCD,200,1310,1345, -,11.5,11.5,
1/12/2022,2,Stanislaus,3,RK,EL,JM,EL,CLR,200,1140,1324,10,11,10.5,
1/13/2022,2,Stanislaus,3,RK,EL,JM,EL,CLR,185,830,1106,10+,9,10,
1/13/2022,2,Stanislaus,4,RK,EL,JM,EL,CLR,185,1106,1314,10+,10,10,
1/18/2022,3,Stanislaus,1,RK,EL,JM,EL,CLR,185,745,940, -,10,10,
1/18/2022,3,Stanislaus,2,RK,EL,JM,EL,CLR,185,1035,1132, -,10,10,
1/19/2022,3,Stanislaus,2,RK,EL,JM,JM,CLR,185,826,1134,11,9.5,9.5,
1/18/2022,3,Stanislaus,3,RK,EL,JM,EL,CLR,185,1132,1220, -,10,9,
1/19/2022,3,Stanislaus,3,RK,EL,JM,EL,CLR,185,1134,1500, -,9.5,10,
Week 3 N1-Z2 Not surveyed due to staffing,,,,,,,,,,,,,,,
Week 4 Not surveyed due to staffing,,,,,,,,,,,,,,,
1/31/2022,5,Stanislaus,1,RK,EL,JM,EL,CLR,200,824,1053, -,9.5,9.5,
1/31/2022,5,Stanislaus,2,RK,EL,JM,EL,CLR,200,1155,1250, -,10,10,
2/2/2022,5,Stanislaus,2,RK,EL,JM,EL,CLR,1500,950,1125,7,9.5,10,
1/31/2022,5,Stanislaus,3,RK,EL,JM,EL,CLR/PCD,200,1255,1320, -,10,10,
2/2/2022,5,Stanislaus,3,RK,EL,JM,JM,CLR,1500,1130,1230,8,10,10,
2/3/2022,5,Stanislaus,3,RK,EL,JM,EL,CLR,1500,930,1125,8,9,9.5,
2/3/2022,5,Stanislaus,4,RK,EL,JM,EL,CLR,1500,1125,1240,8,9.5,9.5,
Week 6: Stan. Section 1 not surveyed- flow too high,,,,,,,,,,,,,,,
2/9/2022,6,Stanislaus,2,RK,EL,JM,JM,PCD,1500,945,1155,10,10,10.5,H1: Beaver
2/9/2022,6,Stanislaus,3,RK,EL,JM,JM,PCD,1500,1200,1245,10,10.5,10.5,
2/10/2022,6,Stanislaus,3,RK,EL,JM,EL,CLR,1500,910,1050,9,10,10,
2/10/2022,6,Stanislaus,4,RK,EL,JM,EL,CLR,1500,1055,1210,10,10,10.5,
Week 7: Stan. Section 1 not surveyed- flow too high,,,,,,,,,,,,,,,
2/15/2022,7,Stanislaus,2,RK,EL,JM,JM,CLR,900,915,1130,13,10,10,WIND
2/15/2022,7,Stanislaus,3,RK,EL,JM,EL,CLR,900,1130,1225,16,10,10.5,WIND
2/16/2022,7,Stanislaus,3,RK,EL,JM,EL,CLR,900,955,1153,11+,9.5,10,
2/16/2022,7,Stanislaus,4,RK,EL,JM,EL,CLR,900,1155,1309,11+,10,10,
2/24/2022,8,Stanislaus,1,EL,JM, -,JM,CLR,300,908,1048, -,9.5,9.5,
2/22/2022,8,Stanislaus,2,RK,EL,JM,EL,CLR,800,910,1200,15,10,10,
2/22/2022,8,Stanislaus,3,RK,EL,JM,EL,CLR,800,1200,1249,15,10,10.5,
2/23/2022,8,Stanislaus,3,RK,EL, -,EL,PCD/CLR,800,1000,1202,11+,9,9.5,WIND
2/24/2022,8,Stanislaus,3,EL,JM, -,JM,CLR,300,1100,1135, -,10,10.5,
2/23/2022,8,Stanislaus,4,RK,EL, -,EL,CLR,800,1202,1315,11+,9.5,10,WIND
3/1/2022,9,Stanislaus,2,RK,EL, -,EL,CLR,800,905,1145,14,10,11,
3/1/2022,9,Stanislaus,3,RK,EL, -,EL,CLR,800,1145,1245,20+,11,11,
3/2/2022,9,Stanislaus,3,RK,EL,EA,EL,CLR,800,930,1140,11+,10,10,
3/2/2022,9,Stanislaus,4,RK,EL,EA,EL,CLR,800,1150,1406,11+,11,11.5,
3/10/2022,10,Stanislaus,1,RK,EL, -,EL,CLR,500,1040,1220, -,10,10,
3/8/2022,10,Stanislaus,2,RK,EL, -,EL,CLR,700,920,1200,20+,10,10.5,
3/10/2022,10,Stanislaus,2,RK,EL, -,EL,CLR,500,1410,1452, -,11.5,11.5,
3/8/2022,10,Stanislaus,3,RK,EL, -,EL,CLR,700,1200,1257,20+,10.5,11,
3/9/2022,10,Stanislaus,3,RK,EL, -,EL,CLR,700,940,1220,11+,10,11,
3/10/2022,10,Stanislaus,3,RK,EL, -,EL,CLR,500,1245,1330, -,12,12,
3/9/2022,10,Stanislaus,4,RK,EL, -,EL,CLR,700,1220,1345,11+,11,12,
3/17/2022,11,Stanislaus,1,RK,EL, -,EL,CLR,300,845,1040, -,10,10,
3/15/2022,11,Stanislaus,2,RK,EL,AD,EL,RAIN/CLD,400,930,1246,15+,10.5,11,
3/17/2022,11,Stanislaus,2,RK,EL, -,EL,PCD/CLD,300,1220,1257, -,11,11,
3/15/2022,11,Stanislaus,3,RK,EL,AD,EL,CLD,400,1246,1409,20+,11,11.5,
3/16/2022,11,Stanislaus,3,RK,EL, -,EL,CLR,400,955,1256,11+,10.5,12.5,
3/17/2022,11,Stanislaus,3,RK,EL, -,EL,CLD,300,1105,1129, -,11,12,
3/16/2022,11,Stanislaus,4,RK,EL, -,EL,CLR,400,1256,1438,11+,12.5,13.5,
3/24/2022,12,Stanislaus,1,RK,EL,-,EL,CLR,250,1110,1250,-,11,11,
3/22/2022,12,Stanislaus,2,RK,EL,AX,EL,CLR,300,855,1122,19+,10.5,11.5,"J2: PL carcass, Female, 43cm"
3/24/2022,12,Stanislaus,2,RK,EL,-,EL,CLR,300,840,935,-,11,12,
3/22/2022,12,Stanislaus,3,RK,EL,AX,EL,CLR,300,1122,1228,20+,11.5,12,
3/23/2022,12,Stanislaus,3,RK,EL,-,EL,CLR,300,855,1150,10+,11.5,14,
3/24/2022,12,Stanislaus,3,RK,EL,-,EL,CLR,300,944,1040,-,12,12,
3/23/2022,12,Stanislaus,4,RK,EL,-,EL,CLR,300,1150,1405,10+,14,15.5,
3/29/2022,13,Stanislaus,1,RK,EL,-,EL,CLD,300,1000,1135,-,10.5,10.5,
3/28/2022,13,Stanislaus,2,RK,EL,AX,EL,CLD/RAIN,300,910,1150,18,11,11.5,
3/29/2022,13,Stanislaus,2,RK,EL,-,EL,CLD,300,840,910,-,10.5,10.5,
3/28/2022,13,Stanislaus,3,RK,EL,AX,EL,CLD,300,1150,1320,20+,11.5,12,
3/30/2022,13,Stanislaus,3,RK,EL,-,EL,CLR,300,835,1120,10+,11,12.5,
3/30/2022,13,Stanislaus,4,RK,EL,-,EL,CLR/CLD,300,1120,1306,11+,12.5,13.5,
4/6/2022,14,Stanislaus,1,RK,EL,-,EL,CLR,200,1030,1225,-,11,11.5,
4/4/2022,14,Stanislaus,2,RK,KS,-,KS,CLD,300,844,1058,20+,10.5,11,WIND
4/6/2022,14,Stanislaus,2,RK,EL,-,EL,CLR,300,835,920,-,11,11,
4/4/2022,14,Stanislaus,3,RK,KS,-,KS,CLD,300,1058,1235,20+,11,12,
4/5/2022,14,Stanislaus,3,RK,KS,-,KS,CLR,300,825,1135,10+,11.5,14,
4/5/2022,14,Stanislaus,4,RK,KS,-,KS,CLR,300,1135,1330,10+,14,15.5,V6: Beaver
4/11/2022,15,Stanislaus,1,RK,KF,-,RK,RAIN,200,1120,1305,-,11,11,
4/11/2022,15,Stanislaus,2,RK,KF,-,RK,CLD,200,942,1027,-,11.5,11.5,
4/11/2022,15,Stanislaus,3,RK,KF,-,RK,CLD,200,840,915,-,11.5,12,
4/13/2022,15,Stanislaus,2,RK,KS,-,KS,CLR,200,800,1045,18+,11,11,
4/13/2022,15,Stanislaus,3,RK,KS,-,KS,CLR,200,1045,1200,20+,11,11.5,
4/12/2022,15,Stanislaus,3,RK,KS,SA,KS,CLR,200,830,1200,10+,10.5,12.5,
4/12/2022,15,Stanislaus,4,RK,KS,SA,KS,CLR,200,1200,1400,10+,12.5,14,
4/18/2022,16,Stanislaus,1,RK,SA,-,RK,CLR,350,910,1100,-,10.5,11,
4/18/2022,16,Stanislaus,2,RK,SA,-,RK,CLD,350,1340,1410,-,13,13,
4/19/2022,16,Stanislaus,2,RK,KS,-,KS,CLD,450,820,1105,19+,11.5,12,
4/19/2022,16,Stanislaus,3,RK,KS,-,KS,CLD,450,1105,1300,15,12,12,
4/20/2022,16,Stanislaus,3,RK,KS,SA,KS,CLR,500,845,1150,12+,11,12.5,
4/20/2022,16,Stanislaus,4,RK,KS,SA,KS,CLR,500,1150,1430,11+,12.5,14.5,U1 not surveyed
4/25/2022,17,Stanislaus,1,RK,KF,-,RK,CLR,550,915,1050,-,11,11,
4/25/2022,17,Stanislaus,2,RK,KF,-,RK,CLR,550,1240,1320,-,12.5,13.5,
4/25/2022,17,Stanislaus,3,RK,KF,-,RK,CLR,550,1125,1155,-,11.5,12.5,
4/26/2022,17,Stanislaus,2,RK,KS,SA,KS,PCD,500,835,1130,18+,11.5,12.5,
4/26/2022,17,Stanislaus,3,RK,KS,SA,KS,CLR,500,1130,1310,20+,12.5,13,
4/27/2022,17,Stanislaus,3,RK,KS,-,KS,CLR,500,845,1150,11+,11.5,13.5,
4/27/2022,17,Stanislaus,4,RK,KS,-,KS,CLR,500,1150,1335,11+,13.5,15,U1 not surveyed
